Country,Shipping Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price,Mode,Time
Gambia,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 768.10"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""19-37 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Germany,"[{""Courier Name"": ""Seller's Shipping Method"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 30""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""Cainiao Super Economy"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 237.94"", ""Delivery Time"": ""Oct 24""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 584.42"", ""Delivery Time"": ""Aug 20""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,122.93"", ""Delivery Time"": ""Oct 09""}, {""Courier Name"": ""Cainiao Standard - SG Air"", ""Shipping Cost"": ""NGN 1,907.72"", ""Delivery Time"": ""Aug 16""}, {""Courier Name"": ""Cainiao Heavy Parcel Line"", ""Shipping Cost"": ""NGN 5,727.34"", ""Delivery Time"": ""Sep 20""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 10,707.46"", ""Delivery Time"": ""Aug 16""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 23,280.90"", ""Delivery Time"": ""Aug 18""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 27,851.92"", ""Delivery Time"": ""Aug 18""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 33,600.14"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 36,772.72"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 37,252.78"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 40,074.71"", ""Delivery Time"": ""Aug 12""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 40,074.71",UPS Expedited,Estimated delivery on Aug 12
Ghana,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""62-62 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""44-44 days""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 2,041.31"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""18-42 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""17-32 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""10-25 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,10-25 days
Gibraltar,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 768.10"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 13,228.83"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 30,903.45"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 31,304.19"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 36,050.54",Fedex IP,7-15 days
Greece,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""Cainiao Super Economy"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Oct 23""}, {""Courier Name"": ""AliExpress Saver Shipping"", ""Shipping Cost"": ""NGN 847.41"", ""Delivery Time"": ""Sep 13""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,719.87"", ""Delivery Time"": ""Oct 08""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,991.21"", ""Delivery Time"": ""Aug 26""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 11,162.48"", ""Delivery Time"": ""Aug 24""}, {""Courier Name"": ""Cainiao Heavy Parcel Line"", ""Shipping Cost"": ""NGN 13,404.16"", ""Delivery Time"": ""Sep 20""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 24,257.72"", ""Delivery Time"": ""Aug 18""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 29,020.77"", ""Delivery Time"": ""Aug 18""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,011.10"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 38,321.44"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 38,818.20"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 41,757.01"", ""Delivery Time"": ""Aug 12""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 41,757.01",UPS Expedited,Estimated delivery on Aug 12
Greenland,"[{""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 13,228.83"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 28,235.97"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 30,903.45"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 31,304.19"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 33,675.28",UPS Expedited,7-15 days
Grenada,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Guadeloupe,"[{""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""10-19 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,10-19 days
Guam,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 27,146.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Guatemala,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""13-30 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,13-30 days
Guernsey,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,041.31"", ""Delivery Time"": ""46-46 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 10,148.09"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 30,903.45"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 30,903.45",DHL,7-15 days
Guinea,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""48-48 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 26,148.75"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Guinea-bissau,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""49-49 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Guyana,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 23,401.96"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,401.96"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Haiti,"[{""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,640.56"", ""Delivery Time"": ""30-50 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Honduras,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,077.01"", ""Delivery Time"": ""61-61 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""63-63 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""56-56 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""56-56 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
"Hong Kong,china","[{""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 9,083.60"", ""Delivery Time"": ""8-17 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 9,083.60"", ""Delivery Time"": ""8-20 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 15,428.76"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 15,503.90"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 15,566.52"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 15,566.52",DHL,7-15 days
