,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
86,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,43.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
87,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,43.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
88,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,44.0,MultiPolygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
89,Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,44.0,MultiPolygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
90,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,45.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
91,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,45.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
92,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,46.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
93,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,46.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
94,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,47.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
95,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,47.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
96,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,48.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
97,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,48.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
98,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,49.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
